Game,Element,Name,HP,PP,ATT,DEF,AGI,LCK
1,Venus,Flint,8,4,3,0,0,0
1,Venus,Granite,9,0,0,2,2,1
1,Venus,Quartz,10,3,0,0,3,0
1,Venus,Vine,12,4,0,3,0,1
1,Venus,Sap,10,0,3,0,0,1
1,Venus,Ground,9,3,0,0,3,0
1,Venus,Bane,12,0,4,0,0,0
2,Venus,Echo,9,4,3,0,0,0
2,Venus,Iron,11,0,0,2,3,0
2,Venus,Steel,9,0,4,2,0,1
2,Venus,Mud,10,4,0,0,3,0
2,Venus,Flower,12,4,0,0,0,0
2,Venus,Meld,9,0,0,0,4,1
2,Venus,Petra,11,0,0,3,0,0
2,Venus,Salt,9,5,0,0,0,1
2,Venus,Geode,12,0,6,0,0,0
2,Venus,Mold,8,0,4,0,2,1
2,Venus,Crystal,10,5,0,2,0,0
1,Mercury,Fizz,9,4,0,3,0,0
1,Mercury,Sleet,12,0,3,0,0,1
1,Mercury,Mist,11,0,4,0,0,0
1,Mercury,Spritz,8,4,0,0,3,0
1,Mercury,Hail,9,0,4,0,0,1
1,Mercury,Tonic,8,3,0,2,0,2
1,Mercury,Dew,13,4,0,0,4,0
2,Mercury,Fog,9,0,0,2,2,1
2,Mercury,Sour,8,4,3,0,0,0
2,Mercury,Spring,11,5,0,0,0,0
2,Mercury,Shade,9,0,0,3,0,2
2,Mercury,Chill,10,3,0,2,0,0
2,Mercury,Steam,10,0,5,0,0,0
2,Mercury,Rime,10,6,0,0,0,0
2,Mercury,Gel,9,0,5,0,2,0
2,Mercury,Eddy,9,0,0,0,3,2
2,Mercury,Balm,13,4,0,0,0,0
2,Mercury,Serac,12,0,3,0,0,0
1,Mars,Forge,10,0,2,0,2,2
1,Mars,Fever,8,0,3,0,2,0
1,Mars,Corona,12,3,0,3,0,1
1,Mars,Scorch,8,0,3,0,0,0
1,Mars,Ember,9,4,0,2,2,0
1,Mars,Flash,14,3,0,2,0,0
1,Mars,Torch,9,0,3,0,0,1
2,Mars,Cannon,10,0,3,0,0,0
2,Mars,Spark,11,6,0,0,0,0
2,Mars,Kindle,8,0,5,0,0,1
2,Mars,Char,9,0,2,0,2,1
2,Mars,Coal,11,3,0,0,3,0
2,Mars,Reflux,9,0,0,3,0,2
2,Mars,Core,8,0,4,2,0,0
2,Mars,Tinder,12,5,0,0,0,0
2,Mars,Shine,9,0,3,3,2,0
2,Mars,Fury,12,4,0,0,0,0
2,Mars,Fugue,11,4,0,2,0,0
1,Jupiter,Gust,9,0,2,0,2,0
1,Jupiter,Breeze,12,5,0,2,0,1
1,Jupiter,Zephyr,11,3,0,0,2,1
1,Jupiter,Smog,9,0,3,0,0,0
1,Jupiter,Kite,8,4,0,0,3,0
1,Jupiter,Squall,10,0,5,0,0,0
1,Jupiter,Luff,11,5,0,2,0,1
2,Jupiter,Breath,9,0,0,3,4,0
2,Jupiter,Blitz,10,4,3,0,0,0
2,Jupiter,Ether,8,4,0,0,3,2
2,Jupiter,Waft,11,0,4,0,0,0
2,Jupiter,Haze,10,0,0,2,3,2
2,Jupiter,Wheeze,9,3,5,0,0,0
2,Jupiter,Aroma,11,0,0,0,3,2
2,Jupiter,Whorl,9,0,4,2,0,0
2,Jupiter,Gasp,12,5,0,0,0,0
2,Jupiter,Lull,11,6,0,0,0,0
2,Jupiter,Gale,10,0,0,0,5,3
