	Elm	Dam	Type	PP	Range	Effect
Aura	mars	50	curative	7	all	\N
Healing Aura	mars	100	curative	11	all	\N
Cool Aura	mars	200	curative	16	all	\N
Cure	venus	70	curative	3	1	\N
Cure Well	venus	150	curative	7	1	\N
Potent Cure	venus	300	curative	10	1	\N
Ply	mercury	100	curative	4	1	\N
Ply Well	mercury	200	curative	8	1	\N
Pure Ply	mercury	1000	curative	12	1	\N
Wish	mercury	80	curative	9	all	\N
Wish Well	mercury	160	curative	13	all	\N
Pure Wish	mercury	400	curative	20	all	\N
Cure Poison	mercury	\N	standard	2	1	Remove 'Poison Deadly Poison'
Restore	mercury	\N	standard	3	1	Remove temporary Statuses
Revive	venus	\N	standard	15	1	Revive 'Downed' to 100% Max HP
Quake	venus	12	standard	4	2	\N
Earthquake	venus	35	standard	7	3	\N
Quake Sphere	venus	65	standard	15	4	\N
Growth	venus	25	standard	4	1	Puzzle Solving Psynergy
Mad Growth	venus	60	standard	10	2	\N
Wild Growth	venus	110	standard	19	3	\N
Thorn	venus	35	standard	6	2	\N
Briar	venus	70	standard	11	2	\N
Nettle	venus	140	standard	23	3	\N
Spire	venus	40	standard	5	1	\N
Clay Spire	venus	85	standard	13	2	\N
Stone Spire	venus	160	standard	22	2	\N
Gaia	venus	40	standard	7	2	\N
Mother Gaia	venus	100	standard	17	3	\N
Grand Gaia	venus	200	standard	32	3	\N
Frost	mercury	20	standard	5	2	Puzzle Solving Psynergy
Tundra	mercury	45	standard	8	2	\N
Glacier	mercury	100	standard	15	2	\N
Douse	mercury	25	standard	5	2	Puzzle Solving Psynergy
Drench	mercury	60	standard	10	2	\N
Deluge	mercury	120	standard	20	3	\N
Froth	mercury	28	standard	5	2	\N
Froth Sphere	mercury	65	standard	12	3	\N
Froth Spiral	mercury	150	standard	31	4	\N
Ice	mercury	35	standard	5	1	\N
Ice Horn	mercury	70	standard	11	2	\N
Ice Missile	mercury	160	standard	23	2	\N
Cool	mercury	35	standard	6	2	\N
Supercool	mercury	80	standard	14	3	\N
Megacool	mercury	180	standard	33	4	\N
Prism	mercury	40	standard	7	2	\N
Hail Prism	mercury	90	standard	16	3	\N
Freeze Prism	mercury	190	standard	32	3	\N
Flare	mars	15	standard	4	2	\N
Flare Wall	mars	40	standard	7	2	\N
Flare Storm	mars	80	standard	12	2	\N
Blast	mars	25	standard	5	2	\N
Mad Blast	mars	50	standard	9	2	\N
Fiery Blast	mars	110	standard	19	3	\N
Fire	mars	35	standard	6	2	\N
Fireball	mars	65	standard	12	3	\N
Inferno	mars	140	standard	23	3	\N
Blast(Nova)	mars	40	standard	7	2	\N
Nova	mars	70	standard	13	3	\N
Supernova	mars	150	standard	31	4	\N
Beam	mars	45	standard	7	2	\N
Cycle Beam	mars	80	standard	14	3	\N
Searing Beam	mars	170	standard	36	4	\N
Volcano	mars	45	standard	6	1	\N
Eruption	mars	90	standard	14	2	\N
Pyroclasm	mars	180	standard	29	3	\N
Fume	mars	50	standard	6	1	\N
Serpent Fume	mars	130	standard	14	1	\N
Dragon Fume	mars	230	standard	35	1	\N
Bolt	jupiter	20	standard	4	1	\N
Flash Bolt	jupiter	40	standard	7	2	\N
Blue Bolt	jupiter	90	standard	14	2	\N
Slash	jupiter	25	standard	4	1	\N
Wind Slash	jupiter	50	standard	9	2	\N
Sonic Slash	jupiter	120	standard	20	3	\N
Ray	jupiter	35	standard	6	2	\N
Storm Ray	jupiter	65	standard	10	2	\N
Destruct Ray	jupiter	150	standard	21	2	\N
Whirlwind	jupiter	20	standard	5	2	Puzzle Solving Psynergy
Tornado	jupiter	80	standard	14	3	\N
Tempest	jupiter	160	standard	27	3	\N
Plasma	jupiter	45	standard	8	2	\N
Shine Plasma	jupiter	100	standard	18	3	\N
Spark Plasma	jupiter	180	standard	37	4	\N
Impact	jupiter	\N	standard	7	1	+25% Attack : 50% Max
High Impact	jupiter	\N	standard	12	all	+12.5% Attack : 50% Max
Guard	mars	\N	standard	3	1	+25% Defense : 50% Max
Protect	mars	\N	standard	5	all	+12.5% Defense : 50% Max
Ward	jupiter	\N	standard	3	1	+40 Resistance : 80 Max
Resist	jupiter	\N	standard	5	all	+20 Resistance : 80 Max
Dull	jupiter	\N	standard	6	1	-25% Attack : 50% Max
Blunt	jupiter	\N	standard	11	2	-12.5% Attack : 50% Max
Impair	mars	\N	standard	4	1	-25% Defense : 50% Max
Debilitate	mars	\N	standard	6	2	-12.5% Defense : 50% Max
Weaken	jupiter	\N	standard	4	1	-40 Resistance : 80 Max
Enfeeble	jupiter	\N	standard	6	2	-20 Resistance : 80 Max
Drain	jupiter	50	hp	3	1	Heal 100% Damage as HP
Psy Drain	jupiter	15	pp	0	1	Drain 100% PP instead of HP
Haunt	venus	\N	standard	5	2	Inflict 'Haunt'
Curse	venus	\N	standard	6	1	Inflict 'Countdown'
Condemn	venus	\N	standard	8	1	Inflict 'Downed'
Bind	jupiter	\N	standard	4	1	Inflict 'Psynergy Seal'
Delude	jupiter	\N	standard	4	2	Inflict 'Delusion'
Sleep	jupiter	\N	standard	5	2	Inflict 'Sleep'
Break	mercury	\N	standard	5	all	Remove positive attributes
Ragnarok	venus	35	additive	7	1	\N
Cutting Edge	mercury	32	additive	5	1	\N
Diamond Dust	mercury	34	additive	6	1	\N
Heat Wave	mars	33	additive	6	1	\N
Planet Diver	mars	36	additive	7	1	\N
Astral Blast	jupiter	32	additive	5	1	\N
Oddysey	venus	95	additive	18	1	\N
Plume Edge	mercury	80	additive	15	1	\N
Diamond Berg	mercury	92	additive	17	1	\N
Liquifier	mars	90	additive	17	1	\N
Planetary	mars	98	additive	19	1	\N
Thunder Mine	jupiter	85	additive	16	1	\N
Punji	venus	45	standard	7	2	\N
Punji Trap	venus	85	standard	13	2	\N
Punji Strike	venus	150	standard	24	3	\N
Fire Bomb	mars	35	standard	5	2	\N
Cluster Bomb	mars	65	standard	11	3	\N
Carpet Bomb	mars	130	standard	29	4	\N
Gale	jupiter	18	standard	3	2	Puzzle Solving Psynergy
Typhoon	jupiter	75	standard	12	3	\N
Hurricane	jupiter	150	standard	25	3	\N
Thunderclap	jupiter	50	standard	9	2	\N
